,city,member_state,officialpopulation,date,lat,lon
0,Berlin,Germany,3664088,2020-12-31,52.3112,13.2418
1,Madrid,Spain,3305408,2021-01-01,40.25,-3.4209
2,Rome,Italy,2770226,2021-01-01,41.5336,12.2858
3,Bucharest,Romania,2161347,2021-07-01,44.2557,26.614
4,Paris,France,2139907,2022-01-01,48.5124,2.2108
5,Vienna,Austria,1951354,2022-04-01,48.12,16.22
6,Hamburg,Germany,1852478,2020-12-31,53.33,10.0
7,Warsaw,Poland,1792718,2021-06-30,52.1348,21.004
8,Budapest,Hungary,1723836,2021-01-01,47.2933,19.0305
9,Barcelona,Spain,1636732,2021-01-01,41.23,2.11
10,Munich,Germany,1488202,2020-12-31,48.0815,11.343
11,Milan,Italy,1374582,2021-01-01,45.2801,9.1124
12,Sofia,Bulgaria,1307439,2021-12-31,42.42,23.2
13,Prague,Czech Republic,1275406,2022-01-01,50.0515,14.2517
14,Cologne,Germany,1083498,2020-12-31,50.5611,6.571
15,Stockholm,Sweden,978770,2021-12-31,59.1946,18.47
16,Naples,Italy,922094,2021-01-01,40.5042,14.153
17,Amsterdam,Netherlands,905234,2022-01-31,52.22,4.54
18,Marseille,France,870731,2019-01-01,43.1747,5.2212
19,Turin,Italy,858205,2021-01-01,45.0445,7.4034
20,Valencia,Spain,789744,2021-01-01,39.28,-0.223
21,Kraków,Poland,780796,2021-06-30,50.0341,19.5614
22,Zagreb,Croatia,769944,2021-08-31,45.49,15.59
23,Frankfurt am Main,Germany,764104,2020-12-31,50.7,8.41
24,Seville,Spain,684234,2021-01-01,37.23,-5.59
25,Zaragoza,Spain,675301,2021-01-01,41.39,-0.53
26,Łódź,Poland,667923,2021-06-30,51.4637,19.2717
27,Athens,Greece,664046,2011-06-30,37.5903,23.4341
28,Helsinki,Finland,658864,2021-12-31,60.1015,24.5615
29,Rotterdam,Netherlands,655418,2021-12-31,51.55,4.3
30,Wrocław,Poland,641201,2021-06-30,51.0636,17.0157
31,Copenhagen,Denmark,638117,2021-01-01,55.4034,12.3406
32,Palermo,Italy,637885,2021-01-01,38.064,13.2106
33,Stuttgart,Germany,630305,2020-12-31,48.4639,9.1048
34,Düsseldorf,Germany,620523,2020-12-31,51.14,6.47
35,Riga,Latvia,614618,2021-01-01,56.5656,24.623
36,Leipzig,Germany,597493,2020-12-31,51.2024,12.223
37,Dortmund,Germany,587696,2020-12-31,51.31,7.28
38,Gothenburg,Sweden,587549,2021-12-31,57.42,11.58
39,Essen,Germany,582415,2020-12-31,51.273,7.047
40,Málaga,Spain,577405,2021-01-01,36.431,-4.2512
41,Bremen,Germany,566573,2020-12-31,53.5,8.48
42,Genoa,Italy,566410,2021-01-01,44.244,8.5558
43,Vilnius,Lithuania,560120,2022-01-01,54.41,25.17
44,Dresden,Germany,556227,2020-12-31,51.03,13.4424
45,Dublin,Ireland,554554,2016-04-24,53.21,-6.1537
46,The Hague,Netherlands,553277,2021-12-31,52.0448,4.1836
47,Hanover,Germany,534049,2020-12-31,52.22,9.43
48,Poznań,Poland,530464,2021-06-30,52.243,16.5601
49,Antwerp,Belgium,528903,2022-01-01,51.1304,4.2401
50,Lyon,France,522969,2019-01-01,45.46,4.5
51,Nuremberg,Germany,515543,2020-12-31,49.2714,11.0439
52,Lisbon,Portugal,509614,2020-12-31,38.4331,-9.09
53,Duisburg,Germany,495885,2020-12-31,51.2605,6.4545
54,Toulouse,France,493465,2019-01-01,43.3616,1.2638
55,Bratislava,Slovakia,475503,2021-12-01,48.0838,17.0635
56,Gdańsk,Poland,470633,2021-06-30,54.2053,18.3918
57,Murcia,Spain,460349,2021-01-01,37.591,-1.749
58,Tallinn,Estonia,438341,2021-01-01,59.2614,24.4443
59,Palma de Mallorca,Spain,419366,2021-01-01,39.34,2.39
60,Szczecin,Poland,396472,2021-06-30,53.2557,14.3253
61,Sintra,Portugal,392887,2020-12-31,38.4757,-9.2318
62,Bologna,Italy,391686,2021-01-01,44.2938,11.2034
63,Iași,Romania,391024,2021-07-01,47.0925,27.3525
64,Brno,Czech Republic,379466,2022-01-01,49.1133,16.363
65,Las Palmas,Spain,378675,2021-01-01,28.9,-15.25
66,Florence,Italy,368419,2021-01-01,43.4617,11.1515
67,Bochum,Germany,364454,2020-12-31,51.2855,7.1257
68,Utrecht,Netherlands,361966,2021-12-31,52.5,5.7
69,Wuppertal,Germany,355004,2020-12-31,51.16,7.11
70,Aarhus,Denmark,352751,2021-01-01,56.09,10.13
71,Malmö,Sweden,351749,2021-12-31,55.3621,13.0209
72,Bilbao,Spain,346405,2021-01-01,43.1525,-2.5525
73,Nice,France,342669,2019-01-01,43.4212,7.1559
74,Plovdiv,Bulgaria,342048,2020-12-31,42.9,24.45
75,Bydgoszcz,Poland,341692,2021-06-30,53.719,18.0001
76,Varna,Bulgaria,341516,2020-12-31,43.13,27.55
77,Lublin,Poland,337778,2021-06-30,51.1453,22.3413
78,Alicante,Spain,337304,2021-01-01,38.2043,-0.2859
79,Bielefeld,Germany,333509,2020-12-31,52.0116,8.3205
80,Bonn,Germany,330579,2020-12-31,50.44,7.6
81,Cluj-Napoca,Romania,328316,2021-07-01,46.46,23.35
82,Thessaloniki,Greece,325182,2011-06-30,40.3825,22.5608
83,Córdoba,Spain,322071,2021-01-01,37.534226,-4.4646443
84,Nantes,France,318808,2019-01-01,47.1305,-1.331
85,Timișoara,Romania,318296,2021-07-01,45.4535,21.1348
86,Bari,Italy,317205,2021-01-01,41.0731,16.52
87,Münster,Germany,316403,2020-12-31,51.5745,7.3732
88,Mannheim,Germany,309721,2020-12-31,49.2916,8.2758
89,Karlsruhe,Germany,308436,2020-12-31,49.0033,8.2414
90,Constanța,Romania,306607,2021-07-01,44.1,28.38
91,Galați,Romania,304957,2021-07-01,45.2524,28.233
92,Catania,Italy,300356,2021-01-01,37.3,15.525
93,Vila Nova de Gaia,Portugal,300018,2020-12-31,41.08,-8.37
