,city,date,temp_celcius,temp_feels_like_celcius,humidity_percent,weather_description,visibility,wind_speed_meter_sec,wind_direction_degree,wind_gust_meter_sec,pop_percent,rain_3h_mm,pod
0,Berlin,2022-06-13 15:00:00,19.81,19.15,50,clear sky,10000,4.8,304,8.8,0.07,0.0,d
1,Berlin,2022-06-13 18:00:00,18.97,18.25,51,light rain,10000,4.42,322,7.92,0.33,0.33,d
2,Berlin,2022-06-13 21:00:00,15.85,15.11,62,scattered clouds,10000,2.66,308,7.48,0.0,0.0,n
3,Berlin,2022-06-14 00:00:00,11.51,10.62,73,scattered clouds,10000,3.88,290,9.26,0.0,0.0,n
4,Berlin,2022-06-14 03:00:00,9.75,7.86,82,broken clouds,10000,3.65,286,9.12,0.0,0.0,d
5,Berlin,2022-06-14 06:00:00,12.48,11.56,68,overcast clouds,10000,3.97,281,6.43,0.0,0.0,d
6,Berlin,2022-06-14 09:00:00,16.43,15.36,47,overcast clouds,10000,4.72,285,6.58,0.0,0.0,d
7,Berlin,2022-06-14 12:00:00,17.87,16.86,44,overcast clouds,10000,4.55,292,6.47,0.0,0.0,d
8,Berlin,2022-06-14 15:00:00,21.18,20.29,36,overcast clouds,10000,4.04,301,6.15,0.0,0.0,d
9,Berlin,2022-06-14 18:00:00,19.31,18.5,46,broken clouds,10000,3.67,345,4.37,0.0,0.0,d
10,Berlin,2022-06-14 21:00:00,16.81,16.01,56,overcast clouds,10000,1.84,12,3.35,0.0,0.0,n
11,Berlin,2022-06-15 00:00:00,14.31,13.57,68,overcast clouds,10000,0.99,69,1.27,0.0,0.0,n
12,Berlin,2022-06-15 03:00:00,13.15,12.45,74,broken clouds,10000,0.36,93,0.44,0.0,0.0,d
13,Berlin,2022-06-15 06:00:00,17.06,16.34,58,broken clouds,10000,0.5,160,0.66,0.0,0.0,d
14,Berlin,2022-06-15 09:00:00,21.75,21.08,42,overcast clouds,10000,0.27,332,1.29,0.0,0.0,d
15,Berlin,2022-06-15 12:00:00,25.13,24.53,32,broken clouds,10000,0.78,286,2.38,0.0,0.0,d
16,Berlin,2022-06-15 15:00:00,25.28,24.67,31,overcast clouds,10000,2.01,318,3.15,0.0,0.0,d
17,Berlin,2022-06-15 18:00:00,23.53,22.9,37,overcast clouds,10000,2.35,1,2.31,0.0,0.0,d
18,Berlin,2022-06-15 21:00:00,17.98,17.37,59,broken clouds,10000,4.03,59,8.95,0.0,0.0,n
19,Berlin,2022-06-16 00:00:00,15.33,14.8,72,scattered clouds,10000,3.11,65,6.2,0.0,0.0,n
20,Berlin,2022-06-16 03:00:00,14.88,14.3,72,overcast clouds,10000,2.88,51,4.8,0.0,0.0,d
21,Berlin,2022-06-16 06:00:00,16.49,15.89,65,overcast clouds,10000,3.04,44,4.55,0.0,0.0,d
22,Berlin,2022-06-16 09:00:00,20.75,20.11,47,overcast clouds,10000,3.16,35,3.51,0.0,0.0,d
23,Berlin,2022-06-16 12:00:00,24.68,24.14,36,overcast clouds,10000,2.56,2,3.43,0.0,0.0,d
24,Berlin,2022-06-16 15:00:00,23.22,22.56,37,overcast clouds,10000,4.63,350,5.24,0.0,0.0,d
25,Berlin,2022-06-16 18:00:00,21.79,21.02,38,broken clouds,10000,4.72,343,5.75,0.0,0.0,d
26,Berlin,2022-06-16 21:00:00,17.11,16.34,56,broken clouds,10000,2.77,25,5.56,0.0,0.0,n
27,Berlin,2022-06-17 00:00:00,16.14,15.4,61,broken clouds,10000,1.43,318,2.38,0.0,0.0,n
28,Berlin,2022-06-17 03:00:00,13.99,13.35,73,scattered clouds,10000,2.18,319,3.87,0.0,0.0,d
29,Berlin,2022-06-17 06:00:00,17.48,16.95,64,broken clouds,10000,2.58,311,3.85,0.0,0.0,d
30,Berlin,2022-06-17 09:00:00,21.93,21.3,43,broken clouds,10000,3.03,316,3.99,0.0,0.0,d
31,Berlin,2022-06-17 12:00:00,24.87,24.25,32,broken clouds,10000,3.21,313,3.92,0.0,0.0,d
32,Berlin,2022-06-17 15:00:00,25.93,25.31,28,scattered clouds,10000,3.51,325,3.34,0.0,0.0,d
33,Berlin,2022-06-17 18:00:00,23.94,23.33,36,scattered clouds,10000,2.33,343,2.44,0.0,0.0,d
34,Berlin,2022-06-17 21:00:00,19.1,18.53,56,few clouds,10000,2.58,102,4.94,0.0,0.0,n
